observation_id,source_id,native_record_id,entity_name,entity_type,event_type,title,effective_date,portfolio_snapshot_date,location,stage,amount_band,description,record_url,source_value,source_value_type,portfolio_record_sha256
OBS-MACRO-01-507fc77e548a,SRC-MACRO-01,ZA:NY.GDP.MKTP.CD:2020,South Africa,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,South Africa,historical_observation,not_applicable,Official indicator observation for South Africa; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/ZA/indicator/NY.GDP.MKTP.CD?date=2020&format=json,337974655408.055,NY.GDP.MKTP.CD,0b3f17adb542b838077b8ac46a43daa40d2071e91c059ed485bf803781e6034f
OBS-MACRO-01-481653a433fe,SRC-MACRO-01,AU:NY.GDP.MKTP.CD:2021,Australia,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,Australia,historical_observation,not_applicable,Official indicator observation for Australia; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/AU/indicator/NY.GDP.MKTP.CD?date=2021&format=json,1560617493202.69,NY.GDP.MKTP.CD,a6b12dadd781087617a17a2f9f196a51d47e664febe11da5e91e1982bd5af677
OBS-MACRO-01-950bb4e05126,SRC-MACRO-01,BR:NY.GDP.MKTP.CD:2021,Brazil,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,Brazil,historical_observation,not_applicable,Official indicator observation for Brazil; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.MKTP.CD?date=2021&format=json,1670647464062.96,NY.GDP.MKTP.CD,5eca97b4ecee6772e48b5c8e1179738aa702b029124a6d1ff6f1f63db5df1084
OBS-MACRO-01-288a364d7f5c,SRC-MACRO-01,CA:NY.GDP.MKTP.CD:2021,Canada,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,Canada,historical_observation,not_applicable,Official indicator observation for Canada; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/CA/indicator/NY.GDP.MKTP.CD?date=2021&format=json,2022378748423.23,NY.GDP.MKTP.CD,ebd53c9eda5a4e34579971647b4c5c7c68780e1b369050bfb4af2f69ca80c4eb
OBS-MACRO-01-3276c3c23e61,SRC-MACRO-01,CN:NY.GDP.MKTP.CD:2021,China,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,China,historical_observation,not_applicable,Official indicator observation for China; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/CN/indicator/NY.GDP.MKTP.CD?date=2021&format=json,18201698719564,NY.GDP.MKTP.CD,a52d5764a1ddc952442ee11233fa715a77b921548c8b48a47e649e2b8d2a567b
OBS-MACRO-01-723fc6aa7366,SRC-MACRO-01,DE:NY.GDP.MKTP.CD:2021,Germany,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,Germany,historical_observation,not_applicable,Official indicator observation for Germany; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/DE/indicator/NY.GDP.MKTP.CD?date=2021&format=json,4355251953410.78,NY.GDP.MKTP.CD,6a5c969db5721c69e4ea75be8bc18f66fd8208e89f5351f61c16687b9dc45cc1
OBS-MACRO-01-240509972efc,SRC-MACRO-01,GB:NY.GDP.MKTP.CD:2021,United Kingdom,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,United Kingdom,historical_observation,not_applicable,Official indicator observation for United Kingdom; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/GB/indicator/NY.GDP.MKTP.CD?date=2021&format=json,3194559188925.93,NY.GDP.MKTP.CD,09d12f9694cfaa60b30a00a68c4ce74ee5d06a04c2eac6298774ad113aff8aec
OBS-MACRO-01-fa6d0beea343,SRC-MACRO-01,IN:NY.GDP.MKTP.CD:2021,India,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,India,historical_observation,not_applicable,Official indicator observation for India; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/IN/indicator/NY.GDP.MKTP.CD?date=2021&format=json,3167270623260.47,NY.GDP.MKTP.CD,75a074a7bfe9c296002214cee5c0d509aa33d99cc33f1614808cf29abf41fa3a
OBS-MACRO-01-a6dbe75959bc,SRC-MACRO-01,JP:NY.GDP.MKTP.CD:2021,Japan,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,Japan,historical_observation,not_applicable,Official indicator observation for Japan; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/JP/indicator/NY.GDP.MKTP.CD?date=2021&format=json,5039148168861.22,NY.GDP.MKTP.CD,b112aa171afc47aee3d531ba39bc45bfecd9cd3219cdfbba00abc3372dd86dcb
OBS-MACRO-01-590efdc15b09,SRC-MACRO-01,KR:NY.GDP.MKTP.CD:2021,"Korea, Rep.",country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,"Korea, Rep.",historical_observation,not_applicable,"Official indicator observation for Korea, Rep.; indicator code NY.GDP.MKTP.CD.",https://api.worldbank.org/v2/country/KR/indicator/NY.GDP.MKTP.CD?date=2021&format=json,1942313560965.9,NY.GDP.MKTP.CD,97f1be7c36bcaba9522da6dffe63db20b93882ea24cb5b39e0f5f04429428a20
