event_id,entity_key,entity_name,entity_type,event_type,title,effective_date,portfolio_snapshot_date,location,stage,amount_band,source_value,source_value_type,corroboration_count,quality_status,source_ids,source_names,evidence_observation_ids,evidence_hashes,record_urls
EVT-826a7309faf98292,cve-2012-6440,CVE-2012-6440,vulnerability,cyber.vulnerability.published,CVE-2012-6440 published,2013-01-24,2026-08-29,Global,published,not_applicable,4.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-8dc2f47c058c,646c5b8c729ed082a2677dcdc653e4da1f12b6a4b7cef9982477f4246ffd8854,https://nvd.nist.gov/vuln/detail/CVE-2012-6440
EVT-7a0c43c5b8276f03,cve-2012-6442,CVE-2012-6442,vulnerability,cyber.vulnerability.published,CVE-2012-6442 published,2013-01-24,2026-08-29,Global,published,not_applicable,7.5,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-bd7f23ac1e2f,9c45e3ede2e6856542e55eb73769ca4171894434b61bd867720f36a94af91ded,https://nvd.nist.gov/vuln/detail/CVE-2012-6442
EVT-8d37105279f32f86,cve-2013-1609,CVE-2013-1609,vulnerability,cyber.vulnerability.published,CVE-2013-1609 published,2013-03-26,2026-08-29,Global,published,not_applicable,6.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-f1e41d52e692,1cc8c3812875579f129fc3058dab4e3fdc49b2929385c3529f608dffee5988ff,https://nvd.nist.gov/vuln/detail/CVE-2013-1609
EVT-30d4e931d15eeae6,cve-2013-2566,CVE-2013-2566,vulnerability,cyber.vulnerability.published,CVE-2013-2566 published,2013-03-15,2026-08-29,Global,published,not_applicable,5.9,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-fedb6d967ec0,eb03f82e21bbb81b09f5bb5220c38184aeb8a99620bf47456a02e1c6cacbcf48,https://nvd.nist.gov/vuln/detail/CVE-2013-2566
EVT-748d2389f63f1912,cve-2015-1862,CVE-2015-1862,vulnerability,cyber.vulnerability.published,CVE-2015-1862 published,2018-02-09,2026-08-29,Global,published,not_applicable,7.0,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-60593da686a9,1ec96da0e3b583b405c44b13c95fa4a00bd4b5951a9d20638ece882ddedb77ec,https://nvd.nist.gov/vuln/detail/CVE-2015-1862
EVT-d3fc2923a14a2b3f,cve-2015-3246,CVE-2015-3246,vulnerability,cyber.vulnerability.published,CVE-2015-3246 published,2015-08-11,2026-08-29,Global,published,not_applicable,5.1,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-b093752b0789,54f7bb47a5acb6b53d7689373d4ba396ce180d5733ce75fb56df89ed15bd208b,https://nvd.nist.gov/vuln/detail/CVE-2015-3246
EVT-e1b611c56a0de316,cve-2015-5287,CVE-2015-5287,vulnerability,cyber.vulnerability.published,CVE-2015-5287 published,2015-12-07,2026-08-29,Global,published,not_applicable,7.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-77757889b8da,8b69914ba211fc135694586339da5702810226566a1180844caa2c602c399a8f,https://nvd.nist.gov/vuln/detail/CVE-2015-5287
EVT-67dc29bb6697e854,cve-2015-6490,CVE-2015-6490,vulnerability,cyber.vulnerability.published,CVE-2015-6490 published,2015-10-28,2026-08-29,Global,published,not_applicable,9.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-d3588b929016,2a5a571ea4307d86fa76848406099da0edd3d5f94cd172abb28dfefe6b37288d,https://nvd.nist.gov/vuln/detail/CVE-2015-6490
EVT-42be0f5ef2cbcfbf,cve-2015-6492,CVE-2015-6492,vulnerability,cyber.vulnerability.published,CVE-2015-6492 published,2015-10-28,2026-08-29,Global,published,not_applicable,7.5,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-aba469e644a9,e53cb6a2c50f4282e4c13576080784e3989b81cf044cf4f7573aa00498df0285,https://nvd.nist.gov/vuln/detail/CVE-2015-6492
EVT-26d03dbdc7d6155d,cve-2015-8325,CVE-2015-8325,vulnerability,cyber.vulnerability.published,CVE-2015-8325 published,2016-05-01,2026-08-29,Global,published,not_applicable,7.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-aaa3f6ccd417,46f926927f52d90e8c4b36911cbdba40dd09e44ef2d6bee0470be645a5b40677,https://nvd.nist.gov/vuln/detail/CVE-2015-8325
EVT-65305cae06722c05,cve-2015-8553,CVE-2015-8553,vulnerability,cyber.vulnerability.published,CVE-2015-8553 published,2016-04-13,2026-08-29,Global,published,not_applicable,6.5,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-3f12946f668d,97ffe761317391363ccae6d4c91918611a595aee3ba5d660cdbef0ba2d497283,https://nvd.nist.gov/vuln/detail/CVE-2015-8553
EVT-a3061f942bd5f057,cve-2016-2279,CVE-2016-2279,vulnerability,cyber.vulnerability.published,CVE-2016-2279 published,2016-03-02,2026-08-29,Global,published,not_applicable,6.1,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-e3150b1b1dbc,66a3c83943eea98400889c58f4c89254f66bbf1b90970370969eb93e41c8be78,https://nvd.nist.gov/vuln/detail/CVE-2016-2279
EVT-e22ffcc3860f9853,cve-2016-5645,CVE-2016-5645,vulnerability,cyber.vulnerability.published,CVE-2016-5645 published,2016-08-24,2026-08-29,Global,published,not_applicable,7.3,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-e1c0201c8123,e99b0b6af7898bf375011c5a08b115af93be0422e5bbc705079b923e138151b6,https://nvd.nist.gov/vuln/detail/CVE-2016-5645
EVT-96041df1dd60437c,cve-2017-7898,CVE-2017-7898,vulnerability,cyber.vulnerability.published,CVE-2017-7898 published,2017-06-30,2026-08-29,Global,published,not_applicable,9.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-28a9e4e1f270,5e496085810e05656faab8fb68986821b075152bef777b921710ef0ecadb5375,https://nvd.nist.gov/vuln/detail/CVE-2017-7898
EVT-18b59fcb04b0a1dd,cve-2017-7903,CVE-2017-7903,vulnerability,cyber.vulnerability.published,CVE-2017-7903 published,2017-06-30,2026-08-29,Global,published,not_applicable,9.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-cb6e7c59114b,7f7d21a7158db4f5bfab8497fdd8d7a04b3a8ad790206ba7990603665e38d301,https://nvd.nist.gov/vuln/detail/CVE-2017-7903
EVT-780d8b3b167196db,cve-2018-1273,CVE-2018-1273,vulnerability,cyber.vulnerability.published,CVE-2018-1273 published,2018-04-11,2026-08-29,Global,published,not_applicable,9.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-be97056ce393,711db5e6a9cd8f863f6d34e0f99a5701e89ec3f49ca7376794f6c189f418f99d,https://nvd.nist.gov/vuln/detail/CVE-2018-1273
EVT-d44ad4232009c856,cve-2018-17924,CVE-2018-17924,vulnerability,cyber.vulnerability.published,CVE-2018-17924 published,2018-12-07,2026-08-29,Global,published,not_applicable,8.6,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-aa2a5edaffc7,905720e135fab714817747b2fe6480c3bf8da0748f768a43f3de244f827a807b,https://nvd.nist.gov/vuln/detail/CVE-2018-17924
EVT-75d2dcb1a8fbe802,cve-2018-6439,CVE-2018-6439,vulnerability,cyber.vulnerability.published,CVE-2018-6439 published,2018-12-03,2026-08-29,Global,published,not_applicable,7.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-441ddadcc697,422e2c79d0f8494f4b73dc6a4032137ff94e525fb3079ae3e3f169361ddad433,https://nvd.nist.gov/vuln/detail/CVE-2018-6439
EVT-eab3ad039fb683bf,cve-2019-1068,CVE-2019-1068,vulnerability,cyber.vulnerability.published,CVE-2019-1068 published,2019-07-15,2026-08-29,Global,published,not_applicable,8.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-6252717f9eee,d85fad2d06200f691361c1812bb6598004cb1288839fdbf5171355d174801d4c,https://nvd.nist.gov/vuln/detail/CVE-2019-1068
EVT-ce564853cdfca8c1,cve-2019-10955,CVE-2019-10955,vulnerability,cyber.vulnerability.published,CVE-2019-10955 published,2019-04-25,2026-08-29,Global,published,not_applicable,6.1,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-932707c66d0f,6623b556d389f41dde12d31c326237662d62521da488ae6e10e528b0b65ce293,https://nvd.nist.gov/vuln/detail/CVE-2019-10955
EVT-f7194480be491268,cve-2019-6575,CVE-2019-6575,vulnerability,cyber.vulnerability.published,CVE-2019-6575 published,2019-04-17,2026-08-29,Global,published,not_applicable,7.5,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-0d224e60ff6b,95b37791440a7cc63749a71a0735d5c68a295c30e84626843780d92f11853704,https://nvd.nist.gov/vuln/detail/CVE-2019-6575
